ds,y,month,weekday,week
2017-05-02,90.94328101139736,5,1,18
2017-05-03,83.1122773027711,5,2,18
2017-05-04,87.83921081253408,5,3,18
2017-05-05,91.81937103581915,5,4,18
2017-05-09,90.26701543158825,5,1,19
2017-05-10,83.63954878101595,5,2,19
2017-05-11,89.63682109984748,5,3,19
2017-05-17,93.03382008257095,5,2,20
2017-07-04,91.311019756071,7,1,27
2017-08-23,92.69858011269261,8,2,34
2017-08-29,87.80798401337859,8,1,35
2017-08-30,78.71681530695332,8,2,35
2017-08-31,82.13570097358163,8,3,35
2017-09-01,84.7496450256476,9,4,35
2017-09-02,88.33244235378834,9,5,35
2017-09-03,86.01470613739126,9,6,35
2017-09-05,76.99877954402442,9,1,36
2017-09-06,68.62461091682005,9,2,36
2017-09-07,72.8041933994929,9,3,36
2017-09-08,76.22160541402062,9,4,36
2017-09-09,80.65090737361533,9,5,36
2017-09-10,79.22398712727478,9,6,36
2017-09-11,79.47653372816046,9,0,37
2017-09-12,72.13119772222886,9,1,37
2017-09-13,64.79438496169297,9,2,37
2017-09-14,70.0649461877074,9,3,37
2017-09-15,74.62847673063067,9,4,37
2017-09-16,80.25940960481216,9,5,37
2017-09-17,80.08846142141715,9,6,37
2017-09-18,81.64824107046712,9,0,38
2017-09-19,75.65609666262972,9,1,38
2017-09-20,69.71066378493258,9,2,38
2017-09-21,76.50973235312233,9,3,38
2017-09-22,82.61645401307624,9,4,38
2017-09-23,89.78949064715894,9,5,38
2017-09-24,91.14126062654188,9,6,38
2017-09-26,89.61196406953957,9,1,39
2017-09-27,85.00044891864513,9,2,39
2017-09-28,92.91286286322105,9,3,39
2018-07-04,77.9563132745397,7,2,27
2018-08-21,92.20451005360964,8,1,34
2018-08-22,82.75192730562435,8,2,34
2018-08-23,85.70649549433023,8,3,34
2018-08-24,87.76221069007038,8,4,34
2018-08-25,90.7017351430612,8,5,34
2018-08-26,87.66403349962093,8,6,34
2018-08-27,86.190257407612,8,0,35
2018-08-28,77.00694141443518,8,1,35
2018-08-29,67.72295679282234,8,2,35
2018-08-30,70.9384800291671,8,3,35
2018-08-31,73.33967978806797,8,4,35
2018-09-01,76.7012903713146,9,5,35
2018-09-02,74.15461157785768,9,6,35
2018-09-03,84.71331763065584,9,0,36
2018-09-04,64.65895366188634,9,1,36
